location[0],location[1],index,state,age,if_migra,mature,div_time,maxDiv,nDiv,cell_cycle,life_span,prob,prob_0,EGF_R,IGF_R,AKT,ERK,a_ERK,a_AKT
49,47,46,quiescent,23,46,14,23,8,0,14,192,1,0.0991181,0.774281,5.36735e-11,3.75489e-06,0.826896,14.3,44
46,50,47,quiescent,58.5,21,28,30,8,1,28,192,1,0.0989018,0.770751,2.9995e-11,2.00412e-06,0.821628,14.3,44
49,53,48,quiescent,89,34,28,28.5,8,2,28,192,1,0.0989374,0.771396,7.07458e-12,4.79949e-07,0.822531,14.3,44
48,53,48,quiescent,60.5,25,28,60.5,8,0,28,192,1,0.09892,0.771045,2.8803e-11,1.96141e-06,0.822072,14.3,44
47,48,50,quiescent,68,40,14,19.5,8,3,14,192,1,0.0989993,0.772229,3.60974e-12,2.41203e-07,0.824053,14.3,44
46,52,51,quiescent,68,40,28,29.5,8,1,28,192,1,0.0988871,0.770465,3.04507e-11,2.0223e-06,0.821269,14.3,44
52,53,52,quiescent,74,4,28,36.5,8,1,28,192,1,0.0990447,0.773151,1.15825e-11,8.68184e-07,0.825153,14.3,44
50,46,54,quiescent,88,32,28,48,8,1,28,192,1,0.0992146,0.776059,7.02693e-12,4.73769e-07,0.829346,14.3,44
53,52,55,quiescent,67.5,39,28,37,8,1,28,192,1,0.0991181,0.774424,2.25237e-11,1.72246e-06,0.826938,14.3,44
45,52,56,quiescent,83.5,23,28,42,8,1,28,192,1,0.0988773,0.770265,3.04507e-11,2.02295e-06,0.821029,14.3,44
54,48,57,quiescent,131.5,23,28,38,8,2,28,192,1,0.0993372,0.778446,6.72401e-12,6.43287e-07,0.83238,14.3,44
51,46,58,quiescent,62,28,28,29.5,8,1,28,192,1,0.0992651,0.777004,6.47278e-12,4.52608e-07,0.830596,14.3,44
54,50,59,quiescent,90.5,37,28,58,8,1,28,192,1,0.0992539,0.776893,9.30563e-12,7.63024e-07,0.830312,14.3,44
46,53,60,quiescent,95,46,28,31,8,2,28,192,1,0.0988958,0.770592,4.17756e-12,2.63656e-07,0.821518,14.3,44
54,52,62,quiescent,98,4,28,30,8,2,28,192,1,0.0991626,0.775373,2.67561e-12,2.04592e-07,0.828068,14.3,44
51,53,63,quiescent,61.5,27,28,31.5,8,1,28,192,1,0.0990015,0.772444,6.34616e-12,4.54561e-07,0.8241,14.3,44
49,45,65,quiescent,120,0,28,29,8,3,28,192,1,0.0992356,0.776316,2.01308e-12,1.27647e-07,0.829874,14.3,44
54,49,66,quiescent,83,22,28,37,8,1,28,192,1,0.099298,0.777707,4.52636e-12,3.72903e-07,0.831413,14.3,44
47,54,67,quiescent,99,6,28,37,8,1,28,192,1,0.0989231,0.771007,3.13992e-11,2.07086e-06,0.822148,14.3,44
51,45,70,quiescent,68.5,41,28,32,8,1,28,192,1,0.0993248,0.778122,6.81111e-12,4.66299e-07,0.832077,14.3,44
45,51,71,quiescent,100.5,9,28,43.5,8,2,28,192,1,0.0988754,0.770264,7.90714e-12,5.13934e-07,0.821016,14.3,44
49,54,72,quiescent,78,12,28,43.5,8,1,28,192,1,0.0989439,0.771434,1.39955e-11,9.69067e-07,0.82268,14.3,44
45,49,73,quiescent,88.5,33,28,32,8,2,28,192,1,0.0989083,0.770815,7.80097e-12,5.12161e-07,0.821819,14.3,44
