location[0],location[1],state,age,now_phagocytose,max_phagocytose,CSF1R,trans,trans_num,rest_time,life_span,a_CSF1,a_A
55,41,M2,496.668,1,2,1,1,5,0,720,0.675,0.45
54,77,M2,501.871,1,2,1,1,5,0,720,0.675,0.45
33,42,M2,514.483,0,2,1,0,1,0,720,0.675,0.45
58,49,M2,479.437,0,2,1,0,6,0,720,0.675,0.45
31,60,M2,559.026,0,2,1,1,2,0,720,0.675,0.45
42,65,M2,477.34,0,2,1,0,6,0,720,0.675,0.45
60,64,M2,545.777,1,2,1,0,2,0,720,0.675,0.45
63,67,M1,540.198,2,2,1,0,3,8,720,0.675,0.45
38,70,M2,505.222,0,2,1,1,4,0,720,0.675,0.45
30,64,M2,371.102,1,2,1,1,4,0,720,0.675,0.45
26,41,M2,463.474,1,2,1,0,4,0,720,0.675,0.45
35,38,M2,554.406,1,2,1,0,6,0,720,0.675,0.45
33,61,M2,467.79,1,2,1,0,6,0,720,0.675,0.45
39,64,M1,658.732,2,2,1,0,5,7,720,0.675,0.45
60,62,M2,415.975,0,2,1,0,2,0,720,0.675,0.45
41,61,M2,589.043,0,2,1,0,4,0,720,0.675,0.45
61,46,M2,344.895,1,2,1,0,5,0,720,0.675,0.45
39,78,M2,612.088,0,2,1,1,6,0,720,0.675,0.45
37,65,M2,559.182,0,2,1,1,5,0,720,0.675,0.45
57,34,M1,553.995,1,2,1,0,0,0,720,0.675,0.45
80,90,M2,479.202,0,2,1,1,0,0,720,0.675,0.45
41,69,M2,672.18,0,2,1,0,1,0,720,0.675,0.45
46,67,M2,698.24,0,2,1,0,6,0,720,0.675,0.45
64,37,M2,603.614,0,2,1,1,2,0,720,0.675,0.45
60,52,M1,650.422,2,2,1,0,3,9,720,0.675,0.45
38,65,M2,597.288,0,2,1,0,0,0,720,0.675,0.45
31,39,M1,621.175,2,2,1,0,3,4.5,720,0.675,0.45
83,21,M2,591.095,0,2,1,1,6,0,720,0.675,0.45
53,38,M2,426.955,0,2,1,0,5,0,720,0.675,0.45
35,59,M1,324.757,2,2,1,0,4,3.5,720,0.675,0.45
56,42,M2,533.803,0,2,1,0,3,0,720,0.675,0.45
63,78,M2,420.836,0,2,1,0,4,0,720,0.675,0.45
49,38,M2,415.758,1,2,1,0,3,0,720,0.675,0.45
28,58,M2,604.467,0,2,1,0,1,0,720,0.675,0.45
61,49,M2,376.99,1,2,1,0,6,0,720,0.675,0.45
48,61,M2,369.346,0,2,1,0,3,0,720,0.675,0.45
34,24,M2,602.797,1,2,1,0,4,0,720,0.675,0.45
41,67,M2,455.011,1,2,1,0,6,0,720,0.675,0.45
67,2,M1,673.298,0,2,1,1,3,0,720,0.675,0.45
70,3,M2,582.103,0,2,1,1,1,0,720,0.675,0.45
51,69,M1,327.427,2,2,1,0,2,5,720,0.675,0.45
40,77,M2,668.829,0,2,1,1,6,0,720,0.675,0.45
55,79,M2,573.817,0,2,1,1,2,0,720,0.675,0.45
31,59,M2,545.34,0,2,1,0,4,0,720,0.675,0.45
61,43,M2,483.618,1,2,1,0,3,0,720,0.675,0.45
59,41,M2,557.451,1,2,1,1,6,0,720,0.675,0.45
56,43,M2,358.909,0,2,1,0,1,0,720,0.675,0.45
29,51,M1,591.099,2,2,1,0,4,6.5,720,0.675,0.45
7,94,M2,668.429,0,2,1,1,5,0,720,0.675,0.45
69,65,M2,480.986,0,2,1,1,2,0,720,0.675,0.45
40,66,M2,439.703,1,2,1,1,6,0,720,0.675,0.45
59,46,M1,433.333,2,2,1,0,3,4.5,720,0.675,0.45
52,39,M2,658.424,0,2,1,0,1,0,720,0.675,0.45
62,46,M2,371.654,1,2,1,0,5,0,720,0.675,0.45
42,72,M1,425.579,2,2,1,1,4,7,720,0.675,0.45
63,66,M2,675.992,1,2,1,0,6,0,720,0.675,0.45
18,22,M2,386.282,0,2,1,1,1,0,720,0.675,0.45
28,28,M2,647.284,0,2,1,1,5,0,720,0.675,0.45
53,78,M2,537.65,0,2,1,1,1,0,720,0.675,0.45
75,62,M2,659.285,0,2,1,1,5,0,720,0.675,0.45
54,45,M1,555.972,2,2,1,0,1,10,720,0.675,0.45
61,51,M2,657.148,1,2,1,0,3,0,720,0.675,0.45
77,4,M2,689.785,0,2,1,1,3,0,720,0.675,0.45
49,24,M2,456.511,0,2,1,1,2,0,720,0.675,0.45
41,28,M2,382.909,0,2,1,0,4,0,720,0.675,0.45
39,33,M2,378.58,1,2,1,0,3,0,720,0.675,0.45
41,65,M2,523.954,1,2,1,1,2,0,720,0.675,0.45
49,29,M2,546.988,0,2,1,0,6,0,720,0.675,0.45
54,37,M2,584.225,0,2,1,0,4,0,720,0.675,0.45
48,23,M2,639.936,1,2,1,1,0,0,720,0.675,0.45
48,82,M2,642.635,0,2,1,1,0,0,720,0.675,0.45
65,50,M2,678.206,0,2,1,0,4,0,720,0.675,0.45
56,49,M2,325.433,0,2,1,0,1,0,720,0.675,0.45
25,54,M1,471.436,2,2,1,0,2,10.5,720,0.675,0.45
67,74,M2,448.072,0,2,1,0,6,0,720,0.675,0.45
65,67,M2,389.262,1,2,1,1,1,0,720,0.675,0.45
34,67,M2,433.813,0,2,1,1,5,0,720,0.675,0.45
65,63,M2,677.347,0,2,1,0,4,0,720,0.675,0.45
67,54,M2,463.729,1,2,1,1,6,0,720,0.675,0.45
49,37,M2,319.743,0,2,1,0,3,0,720,0.675,0.45
23,56,M2,621.91,0,2,1,0,2,0,720,0.675,0.45
28,34,M2,373.242,0,2,1,0,6,0,720,0.675,0.45
40,64,M2,582.442,0,2,1,0,5,0,720,0.675,0.45
30,65,M2,559.479,0,2,1,1,2,0,720,0.675,0.45
59,77,M2,659.079,0,2,1,1,2,0,720,0.675,0.45
49,36,M1,547.257,0,2,1,0,1,0,720,0.675,0.45
46,31,M1,547.007,2,2,1,0,6,11,720,0.675,0.45
43,63,M2,282.189,1,2,1,0,1,0,720,0.675,0.45
57,42,M2,603.438,0,2,1,0,6,0,720,0.675,0.45
49,25,M2,579.265,0,2,1,0,6,0,720,0.675,0.45
61,83,M2,345.958,0,2,1,1,0,0,720,0.675,0.45
28,41,M2,432.605,1,2,1,1,6,0,720,0.675,0.45
56,39,M2,535.878,0,2,1,1,4,0,720,0.675,0.45
46,38,M2,610.127,0,2,1,0,4,0,720,0.675,0.45
68,61,M2,556.962,0,2,1,1,1,0,720,0.675,0.45
