location[0],location[1],state,age,now_phagocytose,max_phagocytose,CSF1R,trans,trans_num,rest_time,life_span,a_CSF1,a_A
91,96,M2,76.3368,0,2,1,1,2,0,720,0.675,0.45
94,68,M2,691.442,0,2,1,1,1,0,720,0.675,0.45
94,40,M2,682.538,0,2,1,1,1,0,720,0.675,0.45
9,74,M2,693.763,0,2,1,1,1,0,720,0.675,0.45
16,32,M2,312.197,0,2,1,1,3,0,720,0.675,0.45
19,86,M2,685.39,0,2,1,1,4,0,720,0.675,0.45
94,62,M2,345.675,0,2,1,1,0,0,720,0.675,0.45
14,5,M2,347.53,0,2,1,1,2,0,720,0.675,0.45
4,1,M2,292.142,0,2,1,1,4,0,720,0.675,0.45
28,94,M2,541.573,0,2,1,1,2,0,720,0.675,0.45
3,11,M2,563.192,0,2,1,1,2,0,720,0.675,0.45
5,25,M2,627.101,0,2,1,1,2,0,720,0.675,0.45
5,12,M2,167.792,0,2,1,1,3,0,720,0.675,0.45
95,29,M2,700.687,0,2,1,1,0,0,720,0.675,0.45
96,6,M2,193.88,0,2,1,1,6,0,720,0.675,0.45
13,19,M2,675.625,0,2,1,1,1,0,720,0.675,0.45
98,18,M2,411.305,0,2,1,1,2,0,720,0.675,0.45
71,95,M2,530.293,0,2,1,1,1,0,720,0.675,0.45
98,86,M2,514.51,0,2,1,1,0,0,720,0.675,0.45
5,64,M2,374.437,0,2,1,1,0,0,720,0.675,0.45
86,96,M2,297.72,0,2,1,1,1,0,720,0.675,0.45
20,8,M2,274.868,0,2,1,1,0,0,720,0.675,0.45
3,38,M2,271.417,0,2,1,1,1,0,720,0.675,0.45
8,91,M2,370.563,0,2,1,1,0,0,720,0.675,0.45
85,78,M2,527.415,0,2,1,1,1,0,720,0.675,0.45
34,93,M2,696.793,0,2,1,1,4,0,720,0.675,0.45
90,80,M0,164.187,0,2,1,1,6,0,720,0.675,0.45
93,89,M2,650.364,0,2,1,1,6,0,720,0.675,0.45
2,11,M2,376.727,0,2,1,1,5,0,720,0.675,0.45
89,79,M2,260.918,0,2,1,1,4,0,720,0.675,0.45
26,5,M2,345.457,0,2,1,1,1,0,720,0.675,0.45
51,3,M2,651.515,0,2,1,1,3,0,720,0.675,0.45
28,96,M0,177.79,0,2,1,1,3,0,720,0.675,0.45
85,16,M0,167.186,0,2,1,1,4,0,720,0.675,0.45
3,9,M0,635.982,0,2,1,1,2,0,720,0.675,0.45
50,4,M2,72.8863,0,2,1,1,0,0,720,0.675,0.45
